coffee  17
women   15
men 9
jokes   4
socks   3
cheese  3
flowers 3
Jews    3
whiskey 3
people  3
windows 2
condoms 2
cookie jars 2
liquor  2
pizza   2
trees   2
bananas 2
sofa    2
tv  2
dad 2
martinis    2
police officers 2
Abraham Lincoln 2
beer    2
pox 2
gas stations    2
books   2
money   2
threads 2
computer    2
Australian dinners  1
estate agents   1
names   1
smoking 1
like    1
roads   1
candles 1
Grenfell Tower jokes    1
picture frames  1
tofu    1
authorities 1
ex mermaid girlfriend   1
napkin  1
snake jaws  1
wine    1
limitations 1
roller skates   1
candy wrappers  1
grid papers 1
pipes   1
tool kits   1
baby jokes  1
eyes    1
new year celebration    1
soap    1
cooperatives    1
Russian roulette    1
car accidents   1
hair ties   1
tree houses 1
babysitting 1
face washes 1
news shows  1
work    1
covfefe 1
logic   1
sandals 1
casseroles  1
Halloween Candy 1
pizza guy   1
farmers 1
non-sequiturs   1
Xbox One    1
crackers    1
London Underground  1
sausage 1
cat 1
halloween costumes  1
planes  1
truck drivers   1
baptism 1
fate    1
nothing 1
soldiers    1
90's movies 1
Y   1
crowbars    1
marriages   1
seamen  1
caterpillars    1
highways    1
play-doh    1
basketball  1
file system 1
numbers 1
Soup    1
abortions   1
zombies 1
seatbelts   1
ceiling fan 1
Hillary Clinton 1
police brutality    1
TVs 1
bathroom    1
first time driving  1
one night stands    1
source  1
above ground swimming pools 1
zoo-ba-doo  1
dates   1
McDonalds   1
sectors 1
check books 1
horse riding instructors    1
underpants  1
bee movie   1
flight attendants   1
Oscar Pistorius 1
space stations  1
­   1
decisions   1
meat    1
security guards 1
hospitals   1
police stations 1
unicorns    1
other cat   1
square roots    1
achievements    1
Democratic Socialists   1
sense of humor  1
chips   1
humour  1
politics    1
vin diesel movies   1
biblical movies 1
friend, the Greek mythological beast woman  1
outlets 1
street lights   1
action movies   1
dentists    1
metal moulders  1
settlements 1
chocolate chip cookies  1
ice-cream   1
portions    1
violence    1
blunt   1
gardens 1
packets of instant oatmeal  1
sun 1
adventure movies    1
detail  1
meteorologists  1
sex 1
Christians  1
ideas   1
vodka   1
boiled eggs 1
paper   1
sushi   1
alcohol 1
dexi lyas shit  1
microwave   1
shaving cream   1
churches    1
immigration 1
precious diamonds   1
war 1
Germans 1
parks   1
system administrators   1
ambulances  1
Disney figures  1
milk    1
sitcom shows    1
cinema  1
interest    1
psychologists   1
war movies  1
bottles 1
girlfriend  1
parliaments 1
tailors 1
amputees    1
Disney movies   1
milk teeth  1
skirts  1
coasters    1
iPod chargers   1
ravines 1
washing machines    1
bread   1
girlfriends 1
parties 1
tea 1
aphrodisiacs    1
documentaries   1
molecules   1
sky dives   1
water guns  1
coat hangers    1
reality tv shows    1
breakups    1
girls   1
Pasta   1
tests   1
apples  1
dreams  1
slaughter houses    1
weather 1
Coca Cola   1
recently bought house   1
brownies    1
gnomes  1
patients    1
therapy 1
art 1
educational videos  1
motorcycles 1
slaves  1
wheels  1
judges  1
rector election 1
builders    1
golf scores 1
penetrations    1
art galleries   1
eggs    1
music   1
slinkies    1
coffee beans    1
knots   1
regulations 1
bullets 1
goofs   1
timers  1
asparagus   1
elevators   1
music stores    1
slippers    1
wife's back moles   1
ladies  1
relationships   1
butter  1
graduations 1
phone   1
tinder dates    1
athletes    1
estate  1
myself  1
slopes  1
wifi    1
computers   1
lamp shades 1
remote  1
cake    1
GRE test    1
piano tuners    1
tinderboxes 1
